Company_Name,Website,Address,Revenue_in_Millions,Industry
Potter LLC,maldonado.biz,"610 3rd St., Santa Rosa, California, 95404",407.81,Technology
Jackson Ltd,steele-barnett.com,"15045 River Rd., Guerneville, California, 95446",480.74,Healthcare
Torres Ltd,banks-carroll.com,"912 Cole Street, #338, San Francisco, California, 94117",414.27,Hospitality
"Rich, Matthews and Jimenez",miller-burke.org,"1080 W. Old San Marcos Blvd., San Marcos, California, 92069",370.96,Manufacturing
"Spears, Ellis and Rice",foster.net,"901 Gilman St., Berkeley, California, 94710",460.03,Retail
Moore-George,hernandez-moss.info,"906 Washington St., Oakland, California, 94607",170.12,Energy
Campos Group,hansen-wade.com,"2920 Newport Blvd., Newport Beach, California, 92663",232.95,Transportation
Silva Inc,gross.com,"4353 La Jolla Village Dr, San Diego, California, 92122",72.34,Finance
Gates-Berg,davidson.com,"2911 Main St., Santa Monica, California, 90405",63.24,Hospitality
Diaz and Sons,roberts-suarez.com,"1000 Universal Center Dr., Universal City, California, 91608",189.7,Finance
Blake-Miller,kirby-bruce.biz,"6300 Folsom Blvd., Sacramento, California, 95819",72.81,Finance
Galvan PLC,mcmillan-romero.com,"21119 Superior St., Chatsworth, California, 91311",145.54,Manufacturing
"Collins, Coleman and Ortega",conner.net,"11197 Brockway Rd., Ste 1, Truckee, California, 96161",495.06,Retail
"Scott, Rodriguez and Martin",rios.info,"1777 Alamar Way, Fortuna, California, 95440",368.34,Education
Richardson Ltd,bates-lowery.info,"1250 Lincoln Ave., Calistoga, California, 94515",351.71,Transportation
Neal LLC,gonzalez.org,"219 E. Main St., Visalia, California, 93291",471.94,Technology
Johnson PLC,ruiz.com,"939 Broxton Ave., Westwood, California, 90024",434.97,Education
"Cooper, Chan and Banks",kaiser.com,"5500 Grossmont Center Dr., La Mesa, California, 91942",240.69,Manufacturing
Davis-Velasquez,gonzalez.org,"345 Healdsburg Ave., Healdsburg, California, 95448",156.57,Retail
"Wood, Howard and Griffin",lee-buck.org,"21480 Yorba Linda Blvd., Yorba Linda, California, 92686",243.4,Manufacturing
Smith PLC,howard-smith.com,"20 City Blvd. W. Bldg. A-2, Orange, California, 92868",50.33,Transportation
Novak LLC,chapman.com,"3770 Las Vegas Blvd. S, Las Vegas, Nevada, 89109",29.5,Finance
"Johnson, Jones and Shah",stone-murphy.biz,"604 Broadway St., Rock Springs, Wyoming, 82901",235.02,Healthcare
"Cook, Hogan and Cox",lee.org,"131 Summer St., Stamford, Connecticut, 6901",85.98,Manufacturing
Contreras Ltd,lopez-salazar.com,"12801 University Ave, Clive, Iowa, 50325",219.14,Technology
"Winters, Williams and Rose",phelps.com,"305 S. Market Ave., Springfield, Missouri, 65806",11.13,Construction
Rogers Group,cline-ortiz.com,"17070 Wright Plaza, Omaha, Nebraska, 68130",40.74,Transportation
Obrien-Parker,middleton.com,"10922 Elm St., Omaha, Nebraska, 68144",16.87,Construction
Bass-Randolph,young.com,"5429 Shaune Dr., Douglas , Alaska, 99801",14.14,Healthcare
